1
2018
30
Boston Red Sox	AL	133	4618	714	1241	296	26	173	678	450	1016	101	26	0.269	0.337	0.456	0.794
Chicago Cubs	NL	131	4557	635	1205	238	28	142	606	486	1099	56	33	0.264	0.341	0.422	0.763
Atlanta Braves	NL	131	4545	624	1184	266	20	147	597	401	1018	71	29	0.261	0.325	0.425	0.75
Cleveland Indians	AL	131	4512	668	1170	245	14	179	644	439	958	103	26	0.259	0.33	0.439	0.769
Cincinnati Reds	NL	132	4528	593	1169	215	21	135	568	476	1099	64	26	0.258	0.334	0.404	0.738
Houston Astros	AL	132	4476	659	1150	239	16	171	635	454	1002	62	23	0.257	0.329	0.432	0.761
Tampa Bay Rays	AL	132	4466	556	1144	216	29	116	519	421	1127	95	40	0.256	0.329	0.395	0.724
Seattle Mariners	AL	132	4497	545	1150	204	23	148	522	334	998	69	32	0.256	0.314	0.41	0.724
Colorado Rockies	NL	132	4491	622	1147	222	35	165	596	404	1140	74	28	0.255	0.32	0.431	0.751
Pittsburgh Pirates	NL	132	4474	578	1136	231	34	132	556	397	1013	57	27	0.254	0.319	0.409	0.728
New York Yankees	AL	132	4519	686	1141	226	17	215	661	497	1153	54	17	0.252	0.33	0.453	0.783
St. Louis Cardinals	NL	132	4496	607	1130	204	8	170	582	427	1096	53	28	0.251	0.322	0.414	0.736
Washington Nationals	NL	133	4513	615	1134	223	20	158	585	479	1067	93	26	0.251	0.327	0.415	0.742
Milwaukee Brewers	NL	133	4529	588	1137	206	18	171	556	417	1205	100	28	0.251	0.318	0.418	0.736
Oakland Athletics	AL	133	4587	634	1149	267	18	184	610	433	1120	31	19	0.25	0.322	0.437	0.758
Los Angeles Angels	AL	133	4520	605	1116	211	19	175	579	421	1045	71	17	0.247	0.317	0.418	0.735
Los Angeles Dodgers	NL	132	4511	631	1110	239	24	183	594	519	1150	60	19	0.246	0.328	0.431	0.76
Minnesota Twins	AL	131	4460	579	1093	253	21	138	551	430	1099	39	20	0.245	0.314	0.404	0.718
San Francisco Giants	NL	134	4614	526	1128	222	25	115	498	395	1175	59	29	0.244	0.308	0.378	0.686
Chicago White Sox	AL	132	4500	553	1098	218	37	151	539	346	1270	90	35	0.244	0.304	0.41	0.713
Toronto Blue Jays	AL	132	4462	589	1088	255	14	179	565	428	1113	35	25	0.244	0.315	0.428	0.742
Texas Rangers	AL	133	4507	630	1098	220	23	159	596	480	1241	65	33	0.244	0.324	0.408	0.733
Kansas City Royals	AL	132	4466	489	1078	219	18	119	465	345	1051	75	30	0.241	0.302	0.378	0.681
Detroit Tigers	AL	132	4475	503	1078	243	26	105	475	339	1063	56	29	0.241	0.299	0.377	0.677
Miami Marlins	NL	133	4562	494	1096	181	21	110	466	385	1129	40	25	0.24	0.306	0.361	0.668
Arizona Diamondbacks	NL	132	4464	587	1070	219	40	144	557	468	1185	65	21	0.24	0.316	0.403	0.719
Baltimore Orioles	AL	133	4539	519	1082	205	11	162	503	362	1158	55	14	0.238	0.3	0.395	0.695
Philadelphia Phillies	NL	132	4450	570	1058	198	22	157	548	477	1239	54	21	0.238	0.316	0.398	0.714
San Diego Padres	NL	134	4514	506	1060	209	23	125	475	385	1270	80	31	0.235	0.297	0.374	0.672
New York Mets	NL	132	4457	546	1046	212	27	138	523	456	1137	55	31	0.235	0.312	0.387	0.699
2
isort 2018 League incr
ifind 2018 CS average
