1
2017
30
Houston Astros	AL	162	5611	896	1581	346	20	238	854	509	1087	98	42	0.282	0.346	0.478	0.823
Colorado Rockies	NL	162	5534	824	1510	293	38	192	793	519	1408	59	34	0.273	0.338	0.444	0.781
Miami Marlins	NL	162	5602	778	1497	271	31	194	743	486	1282	91	30	0.267	0.331	0.431	0.761
Washington Nationals	NL	162	5553	819	1477	311	31	215	796	542	1327	108	30	0.266	0.332	0.449	0.782
Cleveland Indians	AL	162	5511	818	1449	333	29	212	780	604	1153	88	23	0.263	0.339	0.449	0.788
Atlanta Braves	NL	162	5584	732	1467	289	26	165	706	474	1184	77	31	0.263	0.326	0.412	0.738
New York Yankees	AL	162	5594	858	1463	266	23	241	821	616	1386	90	22	0.262	0.339	0.447	0.785
Baltimore Orioles	AL	162	5650	743	1469	269	12	232	713	392	1412	32	13	0.26	0.312	0.435	0.747
Minnesota Twins	AL	162	5557	815	1444	286	31	206	781	593	1342	95	28	0.26	0.334	0.434	0.768
Kansas City Royals	AL	162	5536	702	1436	260	24	193	660	390	1166	91	31	0.259	0.311	0.42	0.731
Seattle Mariners	AL	162	5551	750	1436	281	17	200	714	487	1267	89	35	0.259	0.325	0.424	0.749
Detroit Tigers	AL	162	5556	735	1435	289	35	187	699	503	1313	65	34	0.258	0.324	0.424	0.748
Boston Red Sox	AL	162	5669	785	1461	302	19	168	735	571	1224	106	31	0.258	0.329	0.407	0.736
St. Louis Cardinals	NL	162	5470	761	1402	284	28	196	728	593	1348	81	31	0.256	0.334	0.426	0.76
Chicago White Sox	AL	162	5513	706	1412	256	37	186	670	401	1397	71	31	0.256	0.314	0.417	0.731
Chicago Cubs	NL	162	5496	822	1402	274	29	223	785	622	1401	62	31	0.255	0.338	0.437	0.775
Arizona Diamondbacks	NL	162	5525	812	1405	314	39	220	776	578	1456	103	30	0.254	0.329	0.445	0.774
Cincinnati Reds	NL	162	5484	753	1390	249	38	219	715	565	1329	120	39	0.253	0.329	0.433	0.761
New York Mets	NL	162	5510	735	1379	286	28	224	713	529	1291	58	23	0.25	0.32	0.434	0.755
Philadelphia Phillies	NL	162	5535	690	1382	287	36	174	654	494	1417	59	25	0.25	0.315	0.409	0.723
Milwaukee Brewers	NL	162	5467	732	1363	267	22	224	695	547	1571	128	41	0.249	0.322	0.429	0.751
Los Angeles Dodgers	NL	162	5408	770	1347	312	20	221	730	649	1380	77	28	0.249	0.334	0.437	0.771
San Francisco Giants	NL	162	5551	639	1382	290	28	128	612	467	1204	76	34	0.249	0.309	0.38	0.689
Oakland Athletics	AL	162	5464	739	1344	305	15	234	708	565	1491	57	22	0.246	0.319	0.436	0.755
Tampa Bay Rays	AL	162	5478	694	1340	226	32	228	671	545	1538	88	34	0.245	0.317	0.422	0.739
Texas Rangers	AL	162	5430	799	1326	255	21	237	756	544	1493	113	44	0.244	0.32	0.43	0.75
Pittsburgh Pirates	NL	162	5458	668	1331	249	36	151	635	519	1213	67	36	0.244	0.318	0.386	0.704
Los Angeles Angels	AL	162	5415	710	1314	251	14	186	678	523	1198	136	44	0.243	0.315	0.397	0.712
Toronto Blue Jays	AL	162	5499	693	1320	269	5	222	661	542	1327	53	24	0.24	0.312	0.412	0.724
San Diego Padres	NL	162	5356	604	1251	227	31	189	576	460	1499	89	33	0.234	0.299	0.393	0.692
2
ifind 2017 B1 max
isort 2017 B3 decr
