1
2016
30
Boston Red Sox	AL	162	5670	878	1598	343	25	208	836	558	1160	83	24	0.282	0.348	0.461	0.81
Colorado Rockies	NL	162	5614	845	1544	318	47	204	805	494	1330	66	39	0.275	0.336	0.457	0.794
Detroit Tigers	AL	161	5526	750	1476	252	30	211	719	493	1303	58	29	0.267	0.331	0.438	0.769
Miami Marlins	NL	161	5547	655	1460	259	42	128	626	447	1213	71	28	0.263	0.322	0.394	0.716
Texas Rangers	AL	162	5525	765	1446	257	23	215	746	436	1220	99	36	0.262	0.322	0.433	0.755
Cleveland Indians	AL	161	5484	777	1435	308	29	185	733	531	1246	134	31	0.262	0.329	0.43	0.759
Kansas City Royals	AL	162	5552	675	1450	264	33	147	640	382	1224	121	35	0.261	0.312	0.4	0.712
Arizona Diamondbacks	NL	162	5665	752	1479	285	56	190	709	463	1427	137	31	0.261	0.32	0.432	0.752
Los Angeles Angels	AL	162	5431	717	1410	279	20	156	686	471	991	73	34	0.26	0.322	0.405	0.726
Seattle Mariners	AL	162	5583	768	1446	251	17	223	735	506	1288	56	28	0.259	0.326	0.43	0.756
San Francisco Giants	NL	162	5565	715	1437	280	54	130	675	572	1107	79	36	0.258	0.329	0.398	0.728
Pittsburgh Pirates	NL	162	5542	729	1426	277	32	153	696	561	1334	110	45	0.257	0.332	0.402	0.734
Chicago White Sox	AL	162	5550	686	1428	277	33	168	656	455	1285	77	36	0.257	0.317	0.41	0.727
Chicago Cubs	NL	162	5503	808	1409	293	30	199	767	656	1339	66	34	0.256	0.343	0.429	0.772
Baltimore Orioles	AL	162	5524	744	1413	265	6	253	710	468	1324	19	13	0.256	0.317	0.443	0.76
Cincinnati Reds	NL	162	5487	716	1403	277	33	164	678	452	1284	139	51	0.256	0.316	0.408	0.724
Washington Nationals	NL	162	5490	763	1403	268	29	203	735	536	1252	121	39	0.256	0.326	0.426	0.751
St. Louis Cardinals	NL	162	5548	779	1415	299	32	225	745	526	1318	35	26	0.255	0.325	0.442	0.767
Atlanta Braves	NL	161	5514	649	1404	295	27	122	615	502	1240	75	34	0.255	0.321	0.384	0.705
New York Yankees	AL	162	5458	680	1378	245	20	183	647	475	1188	72	22	0.252	0.315	0.405	0.72
Minnesota Twins	AL	162	5618	722	1409	288	35	200	690	513	1426	91	32	0.251	0.316	0.421	0.738
Los Angeles Dodgers	NL	162	5518	725	1376	272	21	189	680	525	1321	45	26	0.249	0.319	0.409	0.728
Toronto Blue Jays	AL	162	5479	759	1358	276	18	221	728	632	1362	54	24	0.248	0.33	0.426	0.755
Houston Astros	AL	162	5545	724	1367	291	29	198	689	554	1452	102	44	0.247	0.319	0.417	0.735
New York Mets	NL	162	5459	671	1342	240	19	218	649	517	1302	42	18	0.246	0.316	0.417	0.733
Oakland Athletics	AL	162	5500	653	1352	270	21	169	634	442	1145	50	23	0.246	0.304	0.395	0.699
Milwaukee Brewers	NL	162	5330	671	1299	249	19	194	641	599	1543	181	56	0.244	0.322	0.407	0.729
Tampa Bay Rays	AL	162	5481	672	1333	288	32	216	647	449	1482	60	37	0.243	0.307	0.426	0.733
Philadelphia Phillies	NL	162	5434	610	1305	231	35	161	574	424	1376	96	45	0.24	0.301	0.384	0.685
San Diego Padres	NL	162	5419	686	1275	257	26	177	654	449	1500	125	45	0.235	0.299	0.39	0.689
2
ifind 2016 R average
ifind 2016 R max
